iter	MultiClass	TotalF1	Accuracy
141	0.9202023442	0.5580107394	0.5647980641
142	0.9201867953	0.5580087612	0.5647953893
143	0.9201763671	0.5580499269	0.564821246
144	0.9201644786	0.5579979076	0.5648132215
145	0.9201568566	0.5580466904	0.5648283788
146	0.9201489657	0.5580384291	0.5648158963
147	0.9201398571	0.5580014638	0.5647811236
148	0.9201302612	0.5580018766	0.564800739
149	0.9201227994	0.5580457819	0.5648346201
150	0.9201160508	0.5580518622	0.5648265956
151	0.9201102769	0.5580536353	0.5648239208
152	0.9200897374	0.5580825187	0.5648319452
153	0.9200795014	0.5581016105	0.5648569103
154	0.9200748273	0.5580877087	0.5648471026
155	0.9200654396	0.5580838933	0.5648355117
156	0.920047297	0.5580989322	0.5648533438
157	0.9200381666	0.5580998182	0.5648533438
158	0.9200255014	0.5581085743	0.5648622599
159	0.9200200184	0.5581128926	0.564871176
160	0.9200163713	0.5581174334	0.5648693928
161	0.9200070082	0.5581184383	0.5648738508
162	0.9200028733	0.5580838847	0.5648524522
163	0.9199848294	0.5580735821	0.5648390781
164	0.9199735901	0.5581082245	0.5648693928
165	0.9199671608	0.5581054219	0.5648622599
166	0.9199589323	0.5581353428	0.5648836585
167	0.9199484653	0.5581593139	0.56491219
168	0.9199454829	0.5581739702	0.5649246725
169	0.9199370219	0.5581535918	0.5649014907
170	0.9199257667	0.5581752827	0.5649193228
171	0.919919225	0.5581424745	0.564891683
172	0.9199094336	0.5581764773	0.5649148648
173	0.9199016886	0.5581920788	0.5649130816
174	0.9198967705	0.558205101	0.5649202144
175	0.9198906338	0.55824637	0.564957662
176	0.9198760168	0.5582380077	0.5649505291
177	0.9198660627	0.558232712	0.5649451795
178	0.9198617343	0.5582309635	0.5649514207
179	0.9198552807	0.5582511408	0.5649772774
180	0.9198459268	0.5582330354	0.5649639032
181	0.9198396691	0.558195048	0.564941613
182	0.9198303235	0.5582488819	0.5649639032
183	0.9198270418	0.5582492159	0.5649665781
184	0.9198228824	0.5582357866	0.5649692529
185	0.9198088655	0.5582800028	0.5650058088
186	0.9198050812	0.558266549	0.5649995676
187	0.9197947179	0.5582535067	0.5649924347
188	0.919792169	0.5582587512	0.5649933263
189	0.9197860972	0.5582592334	0.5649817354
190	0.9197757356	0.5582815105	0.5650084837
191	0.9197705455	0.5582618542	0.565007592
192	0.9197637858	0.5582813038	0.5650120501
193	0.9197583506	0.5583118195	0.5650396899
194	0.919751382	0.558310745	0.5650316655
195	0.9197473099	0.5583097256	0.5650263158
196	0.9197398457	0.5583211912	0.5650405815
197	0.9197299627	0.5583218892	0.5650182913
198	0.9197250035	0.5583347255	0.5650289906
199	0.9197141411	0.5583035273	0.5650182913
200	0.919702781	0.558323783	0.5650307739
201	0.9196939786	0.5583373383	0.5650370151
202	0.9196911066	0.5583382459	0.5650334487
203	0.9196873229	0.5583396231	0.5650218578
204	0.9196801908	0.5583282918	0.565028099
205	0.9196768745	0.5583282989	0.5650307739
206	0.9196750702	0.5583280072	0.5650316655
207	0.9196708673	0.5583318609	0.5650459312
208	0.9196656749	0.5583394298	0.5650468228
209	0.9196625506	0.5583306628	0.5650423648
210	0.9196590461	0.5583356518	0.5650405815
211	0.9196524649	0.5583372661	0.5650307739
212	0.9196407494	0.5583356916	0.5650307739
213	0.9196307047	0.5583228428	0.5650343403
214	0.919630041	0.5583252672	0.5650352319
215	0.9196224365	0.5583208986	0.5650272074
216	0.9196189974	0.5583216598	0.5650227494
217	0.919614532	0.5583312639	0.5650298822
218	0.9196034165	0.5583565104	0.5650530641
219	0.9195965415	0.5583750557	0.5650700046
220	0.9195876449	0.5583990548	0.5650762459
221	0.9195835318	0.5584150457	0.5650887284
222	0.9195819459	0.558434851	0.5650994277
223	0.9195734065	0.5584327717	0.5650985361
224	0.9195648593	0.5584340067	0.5651003193
225	0.9195614807	0.5584378775	0.5651021025
226	0.9195592812	0.5584237524	0.5650967529
227	0.9195548036	0.5584286251	0.5651003193
228	0.9195493692	0.5584180063	0.5650922948
229	0.9195436315	0.5584245424	0.565110127
230	0.9195366739	0.5584061889	0.5650994277
231	0.9195222461	0.5584287702	0.5651065605
232	0.9195193928	0.558444505	0.5651172598
233	0.9195156397	0.5584482417	0.5651199347
234	0.9195112126	0.5584499795	0.5651243927
235	0.9195042794	0.5584693396	0.565135092
236	0.9195001093	0.5584785538	0.5651324172
237	0.9194941983	0.5585020357	0.5651511409
238	0.9194905195	0.5585227547	0.565160057
239	0.9194874884	0.5585280157	0.5651591654
240	0.9194807397	0.558525259	0.5651618402
241	0.9194770637	0.5585396566	0.5651707563
242	0.9194666126	0.5585516769	0.5651850221
243	0.9194650512	0.5585697603	0.5651983962
244	0.9194594992	0.5585757185	0.5651983962
245	0.9194582195	0.5585688195	0.5651912633
246	0.9194552165	0.5585716467	0.5651948297
247	0.9194513568	0.5585931082	0.5652046374
248	0.9194477884	0.5585970773	0.5652073123
249	0.9194419466	0.5586026821	0.5651992878
250	0.9194349033	0.5586005501	0.565201071
251	0.9194319172	0.5585986887	0.5652001794
252	0.9194232016	0.5586121278	0.5652189032
253	0.9194155356	0.5586252673	0.5652242528
254	0.9194086394	0.5586517924	0.565246543
255	0.9193985845	0.5586546164	0.5652652668
256	0.9193965018	0.558656029	0.5652795325
257	0.919392468	0.558658473	0.5652822073
258	0.9193862912	0.5586535603	0.56526705
259	0.9193835068	0.5586689414	0.5652884486
260	0.9193801641	0.5586726423	0.565292015
261	0.9193758093	0.5586892126	0.5653044975
262	0.9193731109	0.5586888045	0.5653116304
263	0.9193660305	0.5586877905	0.5653009311
264	0.9193598365	0.5586870834	0.5653062808
265	0.9193517464	0.5586742686	0.5652946898
266	0.9193496655	0.5586876401	0.5653036059
267	0.9193404256	0.5586787289	0.5653044975
268	0.9193304407	0.5586454751	0.565271508
269	0.9193261089	0.5586274933	0.5652608087
270	0.919319485	0.5586491359	0.5652750745
271	0.9193109905	0.5586672085	0.5652964731
272	0.9193074467	0.5586457119	0.5652732913
273	0.9193054318	0.5586544545	0.5652884486
274	0.9192988511	0.5586735569	0.5653134136
275	0.9192958877	0.5586729601	0.5653098472
276	0.9192901729	0.5586964749	0.5653241129
277	0.9192838906	0.5587143781	0.5653428367
278	0.9192762401	0.5587117673	0.5653419451
279	0.9192734447	0.5587096198	0.5653401619
280	0.9192681965	0.5587469083	0.5653704765
281	0.9192670904	0.5587547842	0.5653767178
282	0.9192595869	0.5587502916	0.5653642353
283	0.9192554418	0.5587000232	0.5653357038
284	0.9192473132	0.5586968687	0.5653276793
285	0.9192449345	0.5587336697	0.5653481863
286	0.9192425202	0.5587409493	0.5653437283
287	0.9192362998	0.5587330381	0.5653446199
